rank	score	path	code	nat	nbnd	ecutwfc	ecutrho	kpoints_type	kx	ky	kz	kpoints_est	gamma_only	calculation	occupations	pseudo_ok	parallel_expectation
1	98.0	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_workflow_exx_nscf/uspp-k-restart-1.in	pw	2		20.0	200.0	automatic	9	9	1	81	no	scf	smearing	unknown	k-point rich; -nk 4 likely effective
2	98.0	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_workflow_exx_nscf/uspp-k-restart-2.in	pw	2		20.0	200.0	automatic	9	9	1	81	no	scf	smearing	unknown	k-point rich; -nk 4 likely effective
3	98.0	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_workflow_exx_nscf/uspp-k-restart-1.in	pw	2		20.0	200.0	automatic	9	9	1	81	no	scf	smearing	unknown	k-point rich; -nk 4 likely effective
4	98.0	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_workflow_exx_nscf/uspp-k-restart-2.in	pw	2		20.0	200.0	automatic	9	9	1	81	no	scf	smearing	unknown	k-point rich; -nk 4 likely effective
5	98.0	/opt/sg/src/q-e_qe-7.5/test-suite/pw_workflow_exx_nscf/uspp-k-restart-1.in	pw	2		20.0	200.0	automatic	9	9	1	81	no	scf	smearing	unknown	k-point rich; -nk 4 likely effective
6	98.0	/opt/sg/src/q-e_qe-7.5/test-suite/pw_workflow_exx_nscf/uspp-k-restart-2.in	pw	2		20.0	200.0	automatic	9	9	1	81	no	scf	smearing	unknown	k-point rich; -nk 4 likely effective
7	92.5	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_vdw/vdW-DF3-opt2.in	pw	4		30.0	180.0	automatic	4	4	4	64	no	scf	fixed	unknown	k-point rich; -nk 4 likely effective
8	92.5	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_vdw/vdW-DF3-opt2.in	pw	4		30.0	180.0	automatic	4	4	4	64	no	scf	fixed	unknown	k-point rich; -nk 4 likely effective
9	92.5	/opt/sg/src/q-e_qe-7.5/test-suite/pw_vdw/vdW-DF3-opt2.in	pw	4		30.0	180.0	automatic	4	4	4	64	no	scf	fixed	unknown	k-point rich; -nk 4 likely effective
10	90.89	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/PW/examples/dftd3_example/reference/graphite_d2.in	pw	4		37.0	318.0	automatic	3	3	3	27	no	scf		unknown	k-point rich; -nk 4 likely effective
11	90.89	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/PW/examples/dftd3_example/reference/graphite_d3.in	pw	4		37.0	318.0	automatic	3	3	3	27	no	scf		unknown	k-point rich; -nk 4 likely effective
12	90.75	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_lda+U/lda+U+V_noncol_ortho.in	pw	2		35.0	350.0	automatic	4	4	1	16	no	scf	smearing	unknown	k-point rich; -nk 4 likely effective
13	90.75	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_lda+U/lda+U+V_noncol_ortho.in	pw	2		35.0	350.0	automatic	4	4	1	16	no	scf	smearing	unknown	k-point rich; -nk 4 likely effective
14	90.75	/opt/sg/src/q-e_qe-7.5/test-suite/pw_lda+U/lda+U+V_noncol_ortho.in	pw	2		35.0	350.0	automatic	4	4	1	16	no	scf	smearing	unknown	k-point rich; -nk 4 likely effective
15	89.03	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_spinorbit/spinorbit-3.in	pw	1	16	30.0	250.0	automatic	4	4	4	64	no	nscf	smearing	no(Pt.rel-pz-n-rrkjus.UPF)	k-point rich; -nk 4 likely effective
16	89.03	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_spinorbit/spinorbit-3.in	pw	1	16	30.0	250.0	automatic	4	4	4	64	no	nscf	smearing	no(Pt.rel-pz-n-rrkjus.UPF)	k-point rich; -nk 4 likely effective
17	89.03	/opt/sg/src/q-e_qe-7.5/test-suite/pw_spinorbit/spinorbit-3.in	pw	1	16	30.0	250.0	automatic	4	4	4	64	no	nscf	smearing	no(Pt.rel-pz-n-rrkjus.UPF)	k-point rich; -nk 4 likely effective
18	89.0	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_metaGGA/metaGGA-spin.in	pw	1		40.0	400.0	automatic	13	13	13	2197	no	scf	smearing	no(Fe.pbe-mt_fhi.UPF)	k-point rich; -nk 4 likely effective
19	89.0	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_metaGGA/metaGGA-spin.in	pw	1		40.0	400.0	automatic	13	13	13	2197	no	scf	smearing	no(Fe.pbe-mt_fhi.UPF)	k-point rich; -nk 4 likely effective
20	89.0	/opt/sg/src/q-e_qe-7.5/test-suite/pw_metaGGA/metaGGA-spin.in	pw	1		40.0	400.0	automatic	13	13	13	2197	no	scf	smearing	no(Fe.pbe-mt_fhi.UPF)	k-point rich; -nk 4 likely effective
21	88.55	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_workflow_scf_dos/scf-dos-2.in	pw	2	9	25.0		automatic	4	4	4	64	no	nscf	smearing	no(As.pz-bhs.UPF)	k-point rich; -nk 4 likely effective
22	88.55	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_workflow_vc-relax_dos/vc-relax-dos-2.in	pw	2	9	25.0		automatic	4	4	4	64	no	nscf	smearing	no(As.pz-bhs.UPF)	k-point rich; -nk 4 likely effective
23	88.55	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_workflow_vc-relax_scf/vc-relax-scf-2.in	pw	2	9	25.0		automatic	4	4	4	64	no	scf	smearing	no(As.pz-bhs.UPF)	k-point rich; -nk 4 likely effective
24	88.55	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_workflow_scf_dos/scf-dos-2.in	pw	2	9	25.0		automatic	4	4	4	64	no	nscf	smearing	no(As.pz-bhs.UPF)	k-point rich; -nk 4 likely effective
25	88.55	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_workflow_vc-relax_dos/vc-relax-dos-2.in	pw	2	9	25.0		automatic	4	4	4	64	no	nscf	smearing	no(As.pz-bhs.UPF)	k-point rich; -nk 4 likely effective
26	88.55	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_workflow_vc-relax_scf/vc-relax-scf-2.in	pw	2	9	25.0		automatic	4	4	4	64	no	scf	smearing	no(As.pz-bhs.UPF)	k-point rich; -nk 4 likely effective
27	88.55	/opt/sg/src/q-e_qe-7.5/test-suite/pw_workflow_scf_dos/scf-dos-2.in	pw	2	9	25.0		automatic	4	4	4	64	no	nscf	smearing	no(As.pz-bhs.UPF)	k-point rich; -nk 4 likely effective
28	88.55	/opt/sg/src/q-e_qe-7.5/test-suite/pw_workflow_vc-relax_dos/vc-relax-dos-2.in	pw	2	9	25.0		automatic	4	4	4	64	no	nscf	smearing	no(As.pz-bhs.UPF)	k-point rich; -nk 4 likely effective
29	88.55	/opt/sg/src/q-e_qe-7.5/test-suite/pw_workflow_vc-relax_scf/vc-relax-scf-2.in	pw	2	9	25.0		automatic	4	4	4	64	no	scf	smearing	no(As.pz-bhs.UPF)	k-point rich; -nk 4 likely effective
30	88.5	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_spinorbit/spinorbit-paw.in	pw	1		30.0	250.0	automatic	4	4	4	64	no	scf	smearing	no(Pt.rel-pbe-n-kjpaw_psl.0.1.UPF)	k-point rich; -nk 4 likely effective
31	88.5	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_spinorbit/spinorbit-pbe.in	pw	1		30.0	250.0	automatic	4	4	4	64	no	scf	smearing	no(Pt.rel-pbe-n-rrkjus.UPF)	k-point rich; -nk 4 likely effective
